nombre_plato,ingredientes,precio,kcal,proteinas,hidratos,grasas,peso,alergenos,is_vegetariano,is_vegano,is_keto,bajo_en_calorias,es_postre,de_cuchara,alto_proteina,sin_lactosa,is_gourmet,para_diabeticos,sin_gluten,congelar
Ají de Pollo,"Pollo, 26.38%, Agua, Cebolla, Huevo (HUEVO), leche (LÁCTEOS), Arroz, Pan (GLUTEN), Almendra (FRUTOS DE CÁSCARA), Queso (LÁCTEOS), Aceite de Oliva, Ajo, Aceitunas, Ají Amarillo 0.73%, Mantequilla (LÁCTEOS), Sal,Pollo, Cúrcuma, Comino, Pimienta Negra y Laurel",6.95,146.0,8.9,13.6,6.0,380.0,"HUEVO, LÁCTEOS, GLUTEN, FRUTOS DE CÁSCARA",False,False,False,False,False,False,False,False,True,False,False,False
Arroz Campero,"Agua, Pollo, Pimientos, Arroz 13.23%, Chorizo, Morcilla, Tomate, Aceite de Oliva, Pimentón Dulce, Ajo, Sal y Pimienta Blanca",6.45,138.0,6.2,13.3,6.5,430.0,,False,False,False,False,False,False,False,True,False,False,False,False
Arroz con Carrilleras al Pedro Ximénez,"Agua, Cerdo 22.67%, Arroz 13.60%, Vino, Cebolla, Pimiento, Zanahorias, Aceite de Oliva, Caldo de Verduras, Roast Pork, Ajo, Sal y Pimentón Dulce",6.45,198.0,10.0,14.1,11.1,430.0,,False,False,False,False,False,False,False,True,True,False,True,False
Arroz con Pollo,"Pollo 29.33%, Agua, Arroz 19.69%, Cebolla, Vino, Zanahoria, Pimiento, Aceite de Oliva, Ajo, Caldo de Pollo, Sal, Colorante Alimentario y Pimienta Blanca",6.45,154.0,6.0,19.2,5.7,430.0,,False,False,False,False,False,False,False,True,False,False,True,False
Arroz Meloso al Parmesano y Setas,"Agua, Arroz, Setas, Leche  Sin Lactosa(LÁCTEOS), Nata (LÁCTEOS), Cebolla, Mantequilla (LÁCTEOS), Vino, Queso (LÁCTEOS), Aceite de Oliva, Caldo de Verduras, Ajo, Sal y Pimienta Negra",5.55,146.0,3.4,17.0,6.5,430.0,LÁCTEOS,True,False,False,False,False,True,False,True,True,False,True,False
Arroz Meloso de Marisco,"Agua, Arroz 10.69%, Gambas (CRUSTÁCEOS), Tomate, Mejillón (MOLUSCOS), Almejas (MOLUSCOS), Pota (PESCADO), Rosada (PESCADO), Cebolla, Ajo, Vino Blanco, Pimiento Choricero, Guisantes, Pimiento, Aceite de Oliva, Caldo de Pescado (PESCADO) y Sal.",5.25,70.1,2.3,8.1,3.1,430.0,"CRUSTÁCEOS, MOLUSCOS, PESCADO",False,False,False,True,False,False,False,True,False,True,True,True
Curry Rojo de Verduras,"Leche de coco, Agua, Arroz 10.91%, Tomate 8.75%, Berenjenas 5.58%, Calabacín 5.51%, Cebolla 5.51%, Zanahoria 5.47%, Pimiento 5.44%, Pimiento 5.44%, Aceite de Oliva, Curry Rojo 0.65%, Caldo de Verduras, Sal, Perejil y Ajo",6.45,51.3,1.6,6.0,22.0,380.0,,True,True,False,True,False,False,False,True,True,True,True,True
Paella Vegetal,"Agua, Arroz 18.81%, Vino, Zanahoria, Caldo de Verduras, Guisantes, Tomate, Alcachofas, Calabacín, Coliflor, Sal, Ajo, Colorante., Coliflor, Judías Verdes, Aceite de Oliva, Cebolla y Pimiento",6.25,127.0,2.8,21.0,2.9,430.0,,True,True,False,False,False,False,False,True,False,True,True,True
Albóndigas de Pollo con Pasta,"Pollo 28.05%, Tomate, Cebolla, Agua, Espaguetis(GLUTEN) 7.61%, Pan, Aceite de Oliva, Zanahoria, Huevo (HUEVO), Tomate, Ajo, Roast Pork, Azúcar, Sal, Orégano y Pimienta Negra",6.25,111.0,4.7,10.5,5.3,380.0,"HUEVO, GLUTEN",False,False,False,False,False,False,False,True,False,False,False,False
Albóndigas de Pollo con Tomate,"Pollo 31.85%, Cebolla, Zanahoria, Ajo, Huevo (HUEVO), Sal, leche Sin Lactosa(LÁCTEOS), Aroma de Carne, Pan (GLUTEN), Tomate 26.36%, Cebolla, Vino, Pimienta, Ajo, Aceite de Oliva y Sal",6.15,72.3,5.9,6.4,2.3,380.0,"HUEVO, GLUTEN, LÁCTEOS",False,False,False,True,False,False,False,False,False,True,False,False
